time_sec,trial_id,sound_command,repeat_index,sound_started,sound_done,sound_success
22.400000000000002,1,IDLE_NO_REQUEST,,False,False,True
22.400000000000002,1,sound_task_done,,True,False,True
22.6,1,IDLE_NO_REQUEST,,False,False,True
22.6,1,sound_task_done,,True,False,True
22.8,1,sound_task_done,,True,False,True
22.8,1,IDLE_NO_REQUEST,,False,False,True
23.0,1,sound_task_done,,True,False,True
23.0,1,IDLE_NO_REQUEST,,False,False,True
23.200000000000003,1,sound_task_done,,True,False,True
23.200000000000003,1,IDLE_NO_REQUEST,,False,False,True
23.400000000000002,1,IDLE_NO_REQUEST,,False,False,True
23.400000000000002,1,sound_task_done,,True,False,True
23.700000000000003,1,IDLE_NO_REQUEST,,False,False,True
23.700000000000003,1,sound_task_done,,True,False,True
23.8,1,IDLE_NO_REQUEST,,False,False,True
23.8,1,sound_task_done,,True,False,True
24.0,1,IDLE_NO_REQUEST,,False,False,True
24.0,1,sound_task_done,,True,False,True
24.200000000000003,1,IDLE_NO_REQUEST,,False,False,True
24.200000000000003,1,sound_task_done,,True,False,True
24.400000000000002,1,IDLE_NO_REQUEST,,False,False,True
24.400000000000002,1,sound_task_done,,True,False,True
24.6,1,IDLE_NO_REQUEST,,False,False,True
24.6,1,sound_task_done,,True,False,True
24.8,1,sound_task_done,,True,False,True
24.8,1,IDLE_NO_REQUEST,,False,False,True
24.900000000000002,1,IDLE_NO_REQUEST,,False,False,True
24.900000000000002,1,sound_task_done,,True,False,True
25.200000000000003,1,IDLE_NO_REQUEST,,False,False,True
25.200000000000003,1,sound_task_done,,True,False,True
25.400000000000002,1,IDLE_NO_REQUEST,,False,False,True
25.400000000000002,1,sound_task_done,,True,False,True
25.6,1,IDLE_NO_REQUEST,,False,False,True
25.6,1,sound_task_done,,True,False,True
25.8,1,sound_task_done,,True,False,True
25.8,1,IDLE_NO_REQUEST,,False,False,True
26.0,1,IDLE_NO_REQUEST,,False,False,True
26.0,1,sound_task_done,,True,False,True
26.200000000000003,1,IDLE_NO_REQUEST,,False,False,True
